Date-time scraper run,URL,Company name,Last updated,Business establishment,Location,Fiscal code,Legal form,Internet site,NACE Code,Sector,Legal representative,Number of Employees Range,email,company linkedin profile,Presentation,Competitors
2024-08-03 15:54:15.806218,https://startup.registroimprese.it/isin/search?1,PROLUX S.R.L,Updated 2024-07-29,2021-07-08,PESCARA (PE),02325970685,LIMITED LIABILITY COMPANY (LLC),Information not registered,31,INDUSTRY/CRAFTS,JACOPO BARBONE,0-4 employees,amministrazione@proluxdesign.it,,"Idea
Prototype/beta version
Ready
Customers first
In the market",
2024-08-03 15:54:44.790894,https://startup.registroimprese.it/isin/search?1,"GOLDITALY GROUP S.R.L. START -UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N.3,",Updated 2024-07-29,2020-09-11,PESCARA (PE),02298650686,LIMITED LIABILITY COMPANY (LLC),Information not registered,6201,SERVICES,Massimiliano Gagliardi,unavailable,info@golditaly.io,https://www.youtube.com/channel/UC68TYN2KCln5m1R_SOemwgg,"GOLDITALY is a digital two-sided platform for the development of certified ""food & beverage"" products (organic, vegan, vegetarian, superfoods, gourmet). The platform carefully selects and gathers together certified SME farm suppliers with particular attention to the raw materials used (Italian origin exclusively), to guarantees quality, health and well-being to the final customer: 'One Stop Shop of Health & Quality'. 

The Goal is to bring together into ONE single 'online marketplace' the best 'Made in Italy‘ production of small and medium-sized agricultual farm suppliers that focus on quality and the ingredients used with respect of the environment, for the purpose of enhancing local territories natural features.","Closest Competitor:

1. Sorgente Natura > already established company started as offline shop now they focus on online mostly with 1000s of organic products. They offer organic products from Ita/EU/nonEU. They do not focus on Italian organic and they do not have an international focus.
2.  NaturaSI > NaturaSi is the ""physical"" store which highlights organic products to customers. Golditaly is positioned as an alternate ""digital"" to NaturaSi, with the upside represented its esclusive 100% Made in italy selection and international focus. NaturaSi could rappresent a distribution channel on the offline Golditaly branded products.
3. Foodscovery > is a B2C platform for gastronomic products in Abruzzo, they opened a B2B business line for high-end products, however, they do not really compete as real competitor due to the very selective natare of Golditaly organic food & beverage,  Foodscovery do not focus on organic 100% made in Italy, and they do not have any international focus.
4. Amazon> World leader eCommerce with CAC costs and UX dynamics that cannot be attacked by other competitors. However, the platform can be an important source engaging users who would like pay more attention to particular products related to organic quality selection and well-being.  Golditaly invests part of its resources in the development of healthy and organic scientific content that engage a more dedicated audience with exclusive personal advantages.

In Italy several eCommerce websites have been created for the sale of organic / gourmet food and beverage products, such as (Sorgente Natura) or offline channels (NaturaSi) and many small others (most of them operates in dropshipping methods).

Only Golditaly selects only 100% made in Italy (Bio / Gourmet) certificates, has a B2C and B2B sales focus at an international level, with a full logistic and integrated warehouse. Furthermore, technologies will be introduced in the business plan to support the traceability of the partner producers' certification to create an exclusive HUB of controlled origin products."
2024-08-03 15:54:59.168275,https://startup.registroimprese.it/isin/search?1,YOUNIQUE S.R.L.,Updated 2024-07-29,2023-05-18,CHIETI (CH),02787700695,LIMITED LIABILITY COMPANY (LLC),https://younique.agency/,6201,SERVICES,FABIO DI MEO,0-4 employees,info@younique.it,,"The Company's object is the development, production and marketing of advanced big data analysis techniques, and Machine Learning and Deep Learning techniques, for the creation of Digital projects, Web development and management, creation of corporate communication design and digital marketing planning.",Accelerated by a certified incubator
2024-08-03 15:55:13.515531,https://startup.registroimprese.it/isin/search?1,"OPLAN S.R.L. Start-up costituita a norma dell'articolo 4 comma 10 bis del decreto legge 24 gennaio 2015, n. 3",Updated 2024-07-29,2019-06-21,AVEZZANO (AQ),02066310661,LIMITED LIABILITY COMPANY (LLC),www.oplan4all.it,6312,SERVICES,FRANCO GATTI,0-4 employees,oplan@oplan.it,,"The name ""OPLAN"" is the result of the entrepreneurial idea born in 1995 from the mind of Franco Gatti, its current owner and President; Either it stands for ""world"" and PLAN stands for ""planning"";
OPLAN ITALIA was and still aims to set up the largest Italian multi-agency in the ""Utilities"" sector and to provide, through its distribution network and offices throughout the national territory, the best market solutions regarding telephony, electricity, gas and water; with reference to the two macro-sectors, consumer and business.
OPLAN ITALIA wants to be a search engine that suggests to customers, based on their real needs and consumption, solutions that can optimize their monthly costs.",we have no competition
2024-08-03 15:55:29.119038,https://startup.registroimprese.it/isin/search?1,COINSAFE S.R.L.,Updated 2024-07-29,2022-02-04,SPOLTORE (PE),02342120686,LIMITED LIABILITY COMPANY (LLC),www.coinsafe.it,6201,SERVICES,Luca Intermesoli,unavailable,info@coinsafe.it,https://www.linkedin.com/in/coinsafe/,"Idea
Prototype/beta version
Ready
Customers first
In the market",
2024-08-03 15:55:44.132562,https://startup.registroimprese.it/isin/search?1,TECNOMATIC S.P.A.,Updated 2024-07-29,1999-06-11,PESCARA (PE),01190060689,JOINT-STOCK COMPANY,,,,GIUSEPPE RANALLI,50-249 employees,info@tecnomatic.it,https://www.youtube.com/channel/UCFWYHWS6sh660ZmYut2fCqQ,"Abroad
European Union
Eastern Asia
Northern America
South Central America",
2024-08-03 15:55:59.328913,https://startup.registroimprese.it/isin/search?1,KULTO S.R.L.,Updated 2024-07-29,2022-05-12,CASTILENTI (TE),02125820676,LIMITED LIABILITY COMPANY (LLC),Information not registered,6202,SERVICES,LUCIO BOSCHI,unavailable,kulto.srl.2022@gmail.com,,"Consultancy in the field of information technology (code activity 620200) services and consultancy to companies, development, production and marketing
of innovative services with high technological value, construction and leasing concession of green rooms, equipped with irrigation and lighting systems as well as an integrated system of instruments capable of providing in real time and remotely detailed information on the health of the plant and on their physiological needs, in the absence of abiotic and biotic stresses typical of classic outdoor cultivation.","The extremely innovative nature of the initiative allows the company to differentiate itself diametrically from any other company currently present in Italy and Europe. For this reason, it is possible to state that at present there are no competitors within the reference market that can be defined as direct, or companies that offer the public a product similar to that of the startup. Therefore, the competition that will have to be faced with the establishment of the company can be traced only to indirect competitors, who, by definition, offer similar products (so-called substitutes). In this context, it is therefore possible to identify the competition relating to the rental of the Green Rooms essentially in 2 companies operating in the Italian market: IGROX srl and TOMATOPIU srl.
IGROX srl is a company already structured in the marketing of containers and plants, designed for indoor and controlled environment cultivation of plants.
TOMATOPIU srl, is characterized by an activity focused on the manufacture and marketing of structures for cultivation in a controlled environment."
2024-08-03 15:56:14.259309,https://startup.registroimprese.it/isin/search?1,DES COMPOSITES S.R.L.,Updated 2024-07-29,2014-09-26,CHIETI (CH),02496600699,LIMITED LIABILITY COMPANY (LLC),,,,Ylia Lazzari,20-49 employees,info@descomposites.com,,"Italy
ABRUZZO
CAMPANIA
EMILIA-ROMAGNA
LAZIO
LOMBARDIA
PIEMONTE
Abroad
European Union
other European countries",
2024-08-03 15:56:31.548410,https://startup.registroimprese.it/isin/search?1,PLASTIC FREE CERTIFICATION SOCIETA' BENEFIT A RESPONSABILITA' LIMITATA,Updated 2024-07-29,2019-10-30,BELLANTE (TE),02059040671,LIMITED LIABILITY COMPANY (LLC),www.plasticfreecertification.it,7120,SERVICES,Zaira Di Paolo,0-4 employees,info@plasticfreecertification.org,http://plastic%20free%20certification/,"Plastic Free Certification S.R.L. è una start-up innovativa nata il 30/10/2019 dall'incontro di esperienze provenienti dal mondo della ricerca sulle scienze ambientali, dell'attivismo sociale e dell'ecologia. Si tratta del primo organismo di Certificazione al mondo che attesta la conformità degli enti beneficiari a uno standard gestionale e operativo volto alla minimizzazione dell'uso di materiali monouso prodotti in plastica inorganica (di seguito materiali PI). 
Gli obiettivi generali di PFC sono: 
- la promozione di una progressiva transizione sistemica all’uso di prodotti a minor impatto di CO₂ nell’ambiente;
- la promozione di soluzioni finalizzate alla diffusione della cultura di un consumo responsabile e volte al decondizionamento della società di una pratica di utilizzo inconsapevole e quasi automatica di materiali PI;
- l’agevolazione dell’accesso ai processi operativi di riduzione/abolizione di materiali PI; 
- l'innesco di un processo virtuoso capace di influenzare, grazie ad un effetto “a cascata”, la filiera produttiva di ogni singolo cliente e di coinvolgere altri soggetti terzi nel processo di transizione; 
- il potenziamento della visibilità e della riconoscibilità del marchio PFC.",
2024-08-03 15:57:51.934070,https://startup.registroimprese.it/isin/search?1,PROLUX S.R.L,Updated 2024-07-29,2021-07-08,PESCARA (PE),02325970685,LIMITED LIABILITY COMPANY (LLC),Information not registered,31,INDUSTRY/CRAFTS,JACOPO BARBONE,0-4 employees,amministrazione@proluxdesign.it,,"Idea
Prototype/beta version
Ready
Customers first
In the market",
